date,description,amount,currency,category
2025-09-01,Imtiaz Super Market,5200,PKR,Other
2025-09-02,Shell Fuel Station,3500,PKR,Transport
2025-09-03,Daraz Online Shopping,2400,PKR,Shopping
2025-09-04,KFC F-7 Islamabad,1250,PKR,Food
2025-09-05,PharmaPlus Pharmacy,980,PKR,Pharmacy
2025-09-06,Careem Ride,650,PKR,Transport
2025-09-07,Utility Bill - IESCO,7400,PKR,Bills
2025-09-08,Metro Cash & Carry,4600,PKR,Transport
2025-09-09,Coffee Bean Cafe,850,PKR,Food
2025-09-10,PSO Fuel Station,3900,PKR,Transport
2025-09-11,Telenor Mobile Recharge,500,PKR,Other
2025-09-12,FoodPanda Delivery,1100,PKR,Food
2025-09-13,SaveMart Grocery,3100,PKR,Groceries
2025-09-14,Servis Shoes,4200,PKR,Shopping
2025-09-15,Water Bill - CDA,950,PKR,Bills
2025-09-16,Medicare Hospital,2200,PKR,Pharmacy
2025-09-17,Savour Foods,1300,PKR,Food
2025-09-18,Netflix Subscription,900,PKR,Entertainment
2025-09-19,Pizza Hut Islamabad,1800,PKR,Food
2025-09-20,Daewoo Express Ticket,1600,PKR,Other
2025-09-21,McDonald's F-10,1450,PKR,Other
2025-09-22,GulAhmed Clothing,5600,PKR,Pharmacy
2025-09-23,Al-Fatah Mall,2900,PKR,Shopping
2025-09-24,Internet Bill - Nayatel,3300,PKR,Bills
2025-09-25,Dwatson Pharmacy,1150,PKR,Pharmacy
